Date,HKDCNY
2012-10-18,1.23999616
2012-10-19,1.239361617
2012-10-22,1.239131478
2012-10-23,1.240436634
2012-10-24,1.240436634
2012-10-25,1.241716867
2012-10-26,1.240412932
2012-10-29,1.24227366
2012-10-30,1.242082826
2012-10-31,1.242448535
2012-11-01,1.242126521
2012-11-02,1.241656118
2012-11-05,1.240985077
2012-11-06,1.240961348
2012-11-07,1.241371026
2012-11-08,1.241610201
2012-11-09,1.241200961
2012-11-12,1.243011787
2012-11-13,1.24482814
2012-11-14,1.245060241
2012-11-15,1.243690738
2012-11-16,1.243176059
2012-11-19,1.243395409
2012-11-20,1.243517746
2012-11-21,1.244044944
2012-11-22,1.24427052
2012-11-23,1.244496186
2012-11-26,1.244935987
2012-11-27,1.245576252
2012-11-28,1.244520097
2012-11-29,1.244360238
2012-11-30,1.244696057
2012-12-03,1.244440162
2012-12-04,1.244899926
2012-12-05,1.24495992
2012-12-06,1.244227867
2012-12-07,1.243904397
2012-12-10,1.244028509
2012-12-11,1.240730067
2012-12-12,1.239880324
2012-12-13,1.243661339
2012-12-14,1.241724083
2012-12-17,1.242799872
2012-12-18,1.243557652
2012-12-19,1.244072368
2012-12-20,1.244056696
2012-12-21,1.244332413
2012-12-24,1.243378519
2012-12-25,1.243194906
2012-12-26,1.243011339
2012-12-27,1.243064242
2012-12-28,1.243970152
2012-12-31,1.244073129
2013-01-01,1.244073129
2013-01-02,1.244073129
2013-01-03,1.244008924
2013-01-04,1.24396899
2013-01-07,1.244212926
2013-01-08,1.245408532
2013-01-09,1.244972695
2013-01-10,1.245605014
2013-01-11,1.247152326
2013-01-14,1.246550892
2013-01-15,1.24759391
2013-01-16,1.247200772
2013-01-17,1.247208726
2013-01-18,1.247361308
2013-01-21,1.246968186
2013-01-22,1.246575342
2013-01-23,1.24690405
2013-01-24,1.246883996
2013-01-25,1.246483289
2013-01-28,1.246481362
2013-01-29,1.246165213
2013-01-30,1.247267057
2013-01-31,1.247226064
2013-02-01,1.245675741
2013-02-04,1.243959182
2013-02-05,1.244878957
2013-02-06,1.244371339
2013-02-07,1.244372062
2013-02-08,1.244323925
2013-02-11,1.244356016
2013-02-12,1.244291834
2013-02-13,1.244436243
2013-02-14,1.244195562
2013-02-15,1.244195562
2013-02-18,1.243048709
2013-02-19,1.241903969
2013-02-20,1.243302176
2013-02-21,1.242824864
2013-02-22,1.244025278
2013-02-25,1.24423697
2013-02-26,1.245404781
2013-02-27,1.245716305
2013-02-28,1.246459743
2013-03-01,1.24627969
2013-03-04,1.245895319
2013-03-05,1.246704604
2013-03-06,1.247438599
2013-03-07,1.246961415
2013-03-08,1.248129375
2013-03-11,1.2475273
2013-03-12,1.24786036
2013-03-13,1.248563658
2013-03-14,1.248402929
2013-03-15,1.248772794
2013-03-18,1.248712916
2013-03-19,1.248608296
2013-03-20,1.249593509
2013-03-21,1.249126985
2013-03-22,1.249629749
2013-03-25,1.249738346
2013-03-26,1.249307658
2013-03-27,1.249476971
2013-03-28,1.249135059
2013-03-29,1.249903394
2013-04-01,1.250604079
2013-04-02,1.2521777
2013-04-03,1.252670992
2013-04-04,1.252092573
2013-04-05,1.252350617
2013-04-08,1.251680611
2013-04-09,1.251829996
2013-04-10,1.253253253
2013-04-11,1.252642791
2013-04-12,1.253593694
2013-04-15,1.254679469
2013-04-16,1.255580357
2013-04-17,1.257744653
2013-04-18,1.256022391
2013-04-19,1.256831574
2013-04-22,1.255810944
2013-04-23,1.256578734
2013-04-24,1.256741446
2013-04-25,1.258285122
2013-04-26,1.259347576
2013-04-29,1.258942041
2013-04-30,1.258877155
2013-05-01,1.258828491
2013-05-02,1.260347628
2013-05-03,1.260514987
2013-05-06,1.25831509
2013-05-07,1.261086465
2013-05-08,1.263556424
2013-05-09,1.265618373
2013-05-10,1.263632663
2013-05-13,1.262767429
2013-05-14,1.263520333
2013-05-15,1.263009731
2013-05-16,1.262673411
2013-05-17,1.264077512
2013-05-20,1.264408823
2013-05-21,1.26492592
2013-05-22,1.265931592
2013-05-23,1.265549342
2013-05-24,1.266249123
2013-05-27,1.267270086
2013-05-28,1.268292683
2013-05-29,1.267253199
2013-05-30,1.266396986
2013-05-31,1.265487447
2013-06-03,1.266081681
2013-06-04,1.26641103
2013-06-05,1.266564397
2013-06-06,1.264965205
2013-06-07,1.265697096
2013-06-10,1.265876445
2013-06-11,1.265974272
2013-06-12,1.266104707
2013-06-13,1.265678747
2013-06-14,1.265977229
2013-06-17,1.266947492
2013-06-18,1.265979146
2013-06-19,1.266061635
